name,ring,quadrant,isNew,description,MoH_Used
NATS,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><a href=""https://nats.io/about/""><strong>NATS</strong></a> is a fast, secure message queueing system with an unusually wide range of features and potential deployment targets. At first glance, you would be forgiven for asking why the world needs another message queueing system. Message queues have been around in various forms for nearly as long as businesses have been using computers and have undergone years of refinement and optimization for various tasks. But NATS has several interesting characteristics and is unique in its ability to scale from embedded controllers to global, cloud-hosted superclusters. We're particularly intrigued by NATS's intent to support a continuous streaming flow of data from mobile devices and IoT and through a network of interconnected systems. However, some tricky issues need to be addressed, not the least of which is ensuring consumers see only the messages and topics to which they're allowed access, especially when the network spans organizational boundaries. NATS 2.0 introduced a security and access control framework that supports multitenant clusters where accounts restrict a user's access to queues and topics. Written in Go, NATS has primarily been embraced by the Go language community. Although clients exist for pretty much all widely used programming languages, the Go client is by far the most popular. However, some of our developers have found that all the language client libraries tend to reflect the Go origins of codebase. Increasing bandwidth and processing power on small, wireless devices means that the volume of data businesses must consume in real time will only increase. Assess NATS as a possible platform for streaming that data within and among businesses.</p>",y
Opstrace,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://opstrace.com/"">Opstrace</a></strong> is an open-source observability platform intended to be deployed in the user's own network. If we don't use commercial solutions like Datadog (for example, because of cost or data residency concerns), the only solution is to build your own platform composed of open-source tools. This can take a lot of effort — Opstrace is intended to fill this gap. It uses open-source APIs and interfaces such as <a href=""/radar/tools/prometheus"">Prometheus</a> and <a href=""/radar/tools/grafana"">Grafana</a> and adds additional features on top like TLS and authentication. At the heart of Opstrace runs a <a href=""https://github.com/cortexproject/cortex"">Cortex</a> cluster to provide the scalable Prometheus API as well as a <a href=""https://github.com/grafana/loki"">Loki</a> cluster for the logs. It's fairly new and <a href=""https://opstrace.com/docs/references/roadmap#opstrace-roadmap"">still misses features</a> when compared to solutions like Datadog or SignalFX. Still, it's a promising addition to this space and worth keeping an eye on.</p>",n
Pulumi,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>We've seen interest in <strong><a href=""https://pulumi.io/"">Pulumi</a></strong> slowly but steadily rising. Pulumi fills a gaping hole in the infrastructure coding world where <a href=""/radar/tools/terraform"">Terraform</a> maintains a firm hold. While Terraform is a tried-and-true standby, its declarative nature suffers from inadequate abstraction facilities and limited testability. Terraform is adequate when the infrastructure is entirely static, but dynamic infrastructure definitions call for a real programming language. Pulumi distinguishes itself by allowing configurations to be written in <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a>/JavaScript, <a href=""/radar/languages-and-frameworks/python-3"">Python</a> and <a href=""/radar/languages-and-frameworks/go-language"">Go</a> — no markup language or templating required. Pulumi is tightly focused on cloud-native architectures — including containers, serverless functions and data services — and provides good support for <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. Recently, <a href=""/radar/platforms/aws-cloud-development-kit"">AWS CDK</a> has mounted a challenge, but Pulumi remains the only cloud-neutral tool in this area. We're anticipating wider Pulumi adoption in the future and looking forward to a viable tool and knowledge ecosystem emerging to support it.</p>",y
Redpanda,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://github.com/vectorizedio/redpanda"">Redpanda</a></strong> is a streaming platform that provides a <a href=""/radar/tools/apache-kafka"">Kafka</a>-compatible API, allowing it to benefit from the Kafka ecosystem without having to deal with the complexities of a Kafka installation. For example, Redpanda simplifies operations by shipping as a single binary and avoiding the need for an external dependency such as ZooKeeper. Instead, it implements the Raft protocol and performs comprehensive tests to validate it's been <a href=""https://vectorized.io/blog/validating-consistency/"">implemented correctly</a>. One of Redpanda’s capabilities (available for enterprise customers only) is inline <a href=""/radar/languages-and-frameworks/webassembly"">WebAssembly (WASM)</a> transformations, using an embedded WASM engine. This allows developers to create event transformers in their language of choice and compile it to WASM. Redpanda also offers much reduced tail latencies and increased throughput due to a <a href=""https://vectorized.io/blog/tpc-buffers/"">series of optimizations</a>. Redpanda is an exciting alternative to Kafka and is worth assessing.</p>",n
axe-core,Explore,"Development, Test and Release Tools",TRUE,"<p>Making the web inclusive requires serious attention to ensure accessibility is considered <em>and</em> validated at all stages of software delivery. Many of the popular accessibility testing tools are designed for testing after a web application is complete; as a result, issues are detected late and often are harder to fix, accumulating as debt. In our recent internal work on ThoughtWorks websites, we included the open-source accessibility (a11y) testing engine <strong><a href=""https://github.com/dequelabs/axe-core"">axe-core</a></strong> as part of our build processes. It provided team members with early feedback on adherence to accessibility rules, even during early increments. Not every issue can be found through automated inspection, though. Extending the functionality of axe-core is the commercially available <a href=""https://www.deque.com/axe/devtools/"">axe DevTools</a>, including functionality that guides team members through exploratory testing for a majority of accessibility issues.</p>",y
dbt,Explore,"Development, Test and Release Tools",FALSE,"<p>Since we last wrote about <strong><a href=""https://www.getdbt.com/"">dbt</a></strong>, we've used it in a few projects and like what we've seen. For example, we like that dbt makes the transformation part of ELT pipelines more accessible to consumers of the data as opposed to just the data engineers building the pipelines. It does this while encouraging good engineering practices such as versioning, automated testing and deployment. SQL continues to be the lingua franca of the data world (including databases, warehouses, query engines, data lakes and analytical platforms) and most of these systems support it to some extent. This allows dbt to be used against these systems for transformations by just building adaptors. The number of native connectors has grown to include <a href=""/radar/platforms/snowflake"">Snowflake</a>, <a href=""/radar/platforms/bigquery"">BigQuery</a>, Redshift and Postgres, as has the range of <a href=""https://docs.getdbt.com/docs/available-adapters"">community plugins</a>. We see tools like dbt helping data platforms become more ""self service"" capable.</p>",n
esbuild,Explore,"Development, Test and Release Tools",TRUE,"<p>We've always been keen to find tools that can shorten the software development feedback cycle; <strong><a href=""https://github.com/evanw/esbuild"">esbuild</a></strong> is such an example. As the front-end codebase grows larger, we usually face a packaging time of minutes. As a JavaScript bundler optimized for speed, esbuild can reduce this time by a factor of 10 to 100. It is written in Golang and uses a more efficient approach in the process of parsing, printing and source map generation which significantly surpasses build tools such as <a href=""/radar/tools/webpack"">Webpack</a> and <a href=""/radar/tools/parcel"">Parcel</a> in building time. esbuild may not be as comprehensive as those tools in JavaScript syntax transformation; however, this doesn't stop many of our teams from switching to esbuild as their default.</p>",y
Flipper,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://github.com/facebook/flipper"">Flipper</a></strong> is an extensible mobile application debugger. Out of the box it supports profiling, interactive layout inspection, log viewer and a network inspector for iOS, Android and <a href=""/radar/languages-and-frameworks/react-native"">React Native</a> applications. Compared to other debugging tools for mobile apps, we find Flipper to be lightweight, feature rich and easy to set up.</p>",n
Great Expectations,Explore,"Development, Test and Release Tools",FALSE,"<p>We wrote about <strong><a href=""https://docs.greatexpectations.io/en/latest/"">Great Expectations</a></strong> in the previous edition of the Radar. We continue to like it and have moved it to Trial in this edition. Great Expectations is a framework that enables you to craft built-in controls that flag anomalies or quality issues in data pipelines. Just as unit tests run in a build pipeline, Great Expectations makes assertions during execution of a data pipeline. We like its simplicity and ease of use — the rules stored in JSON can be modified by our data domain experts without necessarily needing data engineering skills.</p>",y
k6,Explore,"Development, Test and Release Tools",FALSE,"<p>We've had a bit more experience performance testing with <a href=""https://k6.io/""><strong>k6</strong></a> since we first covered it in the Radar, and with good results. Our teams have enjoyed the focus on the developer experience and flexibility of the tool. Although it's easy to get started with k6 all on its own, it really shines with its ease of integration into a developer ecosystem. For example, using the <a href=""https://k6.io/docs/results-visualization/datadog"">Datadog adapter</a>, one team was quickly able to visualize performance in a distributed system and identify significant concerns before releasing the system to production. Another team, with the commercial version of k6, was able to use the <a href=""https://marketplace.visualstudio.com/items?itemName=k6.k6-load-test&ssr=false"">Azure pipelines marketplace extension</a> to wire performance tests into their CD pipeline and get Azure DevOps reporting with little effort. Since k6 supports thresholds that allow for automated testing assertions out of the box, it's relatively easy to add a stage to your pipeline that detects performance degradation of new changes, adding a powerful feedback mechanism for developers.</p>",n
MLflow,Explore,"Development, Test and Release Tools",FALSE,"<p><strong><a href=""https://mlflow.org/"">MLflow</a></strong> is an open-source tool for <a href=""/radar/tools/experiment-tracking-tools-for-machine-learning"">machine-learning experiment tracking</a> and lifecycle management. The workflow to develop and continuously evolve a machine-learning model includes a series of experiments (a collection of runs), tracking the performance of these experiments (a collection of metrics) and tracking and tweaking models (projects). MLflow facilitates this workflow nicely by supporting existing open standards and integrates well with many other tools in the ecosystem. <a href=""https://databricks.com/product/managed-mlflow"">MLflow as a managed service by Databricks</a> on the cloud, available in <a href=""/radar/platforms/aws"">AWS</a> and <a href=""/radar/platforms/azure"">Azure</a>, is rapidly maturing, and we've used it successfully in our projects. We find MLflow a great tool for model management and tracking, supporting both UI-based and API-based interaction models. Our only growing concern is that MLflow is attempting to deliver too many conflating concerns as a single platform, such as model serving and scoring.</p>",y
OR-Tools,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://developers.google.com/optimization"">OR-Tools</a></strong> is an open-source software suite for solving combinatorial optimization problems. These optimization problems have a very large set of possible solutions, and tools like OR-Tools are quite helpful in seeking the best solution. You can model the problem in any one of the supported languages — Python, Java, C# or C++ — and choose the solvers from several supported open-source or commercial solvers. We've successfully used OR-Tools in multiple optimization projects with integer and mixed-integer programming.</p>",n
Playwright,Explore,"Development, Test and Release Tools",FALSE,"<p><strong><a href=""https://playwright.dev/"">Playwright</a></strong> allows you to write Web UI tests for Chromium and Firefox as well as WebKit, all through the same API. The tool has gained some attention for its support of all the major browser engines which it achieves by including patched versions of Firefox and Webkit. We continue to hear positive experience reports with Playwright, in particular its stability. Teams have also found it easy to migrate from <a href=""/radar/languages-and-frameworks/puppeteer"">Puppeteer</a>, which has a very similar API.</p>",y
Prowler,Explore,"Development, Test and Release Tools",TRUE,"<p>We welcome the increased availability and maturity of <a href=""/radar/techniques/infrastructure-configuration-scanner"">infrastructure configuration scanning</a> tools: <strong><a href=""https://github.com/toniblyx/prowler"">Prowler</a></strong> helps teams scan their AWS infrastructure setups and improve security based on the results. Although Prowler has been around for a while, it has evolved a lot over the past few years, and we've found it very valuable to enable teams to take responsibility for proper security with a short feedback loop. Prowler categorizes <a href=""https://d0.awsstatic.com/whitepapers/compliance/AWS_CIS_Foundations_Benchmark.pdf"">AWS CIS benchmarking</a> checks into different groups (Identity and Access Management, Logging, Monitoring, Networking, CIS Level 1, CIS Level 2, EKS-CIS), and it includes many checks that help you gain insights into your PCI DSS and GDPR compliance.</p>",n
Pyright,Explore,"Development, Test and Release Tools",TRUE,"<p>While <a href=""https://en.wikipedia.org/wiki/Duck_typing"">duck typing</a> is certainly seen as a feature by many Python programmers, sometimes — especially for larger codebases — type checking can be useful, too. For that reason a number of type annotations are proposed as Python Enhancement Proposals (PEPs), and <strong><a href=""https://github.com/Microsoft/pyright"">Pyright</a></strong> is a type checker that works with these annotations. In addition, it provides some type inference and guards that understand conditional code flow constructs. Designed with large codebases in mind, Pyright is fast, and its watch mode checks happen incrementally as files are changed to further shorten the feedback cycle. Pyright can be used directly on the command line, but integrations for VS Code, Emacs, vim, Sublime, and possibly other editors are available, too. In our experience, Pyright is preferable to alternatives like mypy.</p>",y
Redash,Explore,"Development, Test and Release Tools",TRUE,"<p>Adopting a ""you build it, you run it"" DevOps philosophy means teams have increased attention on both technical and business metrics that can be extracted from the systems they deploy. Often we find that analytics tooling is difficult to access for most developers, so the work to capture and present metrics is left to other teams — long after features are shipped to end users. Our teams have found <strong><a href=""https://redash.io/"">Redash</a></strong> to be very useful for querying product metrics and creating dashboards in a way that can be self-served by general developers, shortening feedback cycles and focusing the whole team on the business outcomes.</p>",n
Terratest,Explore,"Development, Test and Release Tools",FALSE,"<p><strong><a href=""https://github.com/gruntwork-io/terratest"">Terratest</a></strong> caught our attention in the past as an interesting option for infrastructure testing. Since then, our teams have been using it, and they're very excited about it because of its stability and the experience it provides. Terratest is a Golang library that makes it easier to write automated tests for infrastructure code. Using infrastructure-as-code tools such as <a href=""/radar/tools/terraform"">Terraform</a>, you can create real infrastructure components (such as servers, firewalls, or load balancers) to deploy applications on them and then validate the expected behavior using Terratest. At the end of the test, Terratest can undeploy the apps and clean up resources. This makes it largely useful for end-to-end tests of your infrastructure in a real environment.</p>",y
Tuple,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://tuple.app/"">Tuple</a></strong> is a relatively new tool optimized for remote paired programming, designed to fill the gap Slack left in the marketplace after abandoning Screenhero. Although it still exhibits some growing pains — platform availability is limited to Mac OS for now (with Linux support coming soon), and it has some UI quirks to work through — we've had good experience using it within those constraints. Unlike general-purpose video- and screen-sharing tools like Zoom, Tuple supports dual control with two mouse cursors, and unlike options such as <a href=""/radar/tools/visual-studio-live-share"">Visual Studio Live Share</a>, it isn't tied to an IDE. Tuple supports voice and video calls, clipboard sharing, and lower latency than general-purpose tools; and its ability to let you draw and erase in your pair's screen with ease makes Tuple a very intuitive and developer-friendly tool.</p>",n
Why Did You Render,Explore,"Development, Test and Release Tools",TRUE,"<p>When working with <a href=""/radar/languages-and-frameworks/react-js"">React</a>, we often encounter situations where our page is very slow because some components are re-rendering when they shouldn't be. <strong><a href=""https://github.com/welldone-software/why-did-you-render"">Why Did You Render</a></strong> is a library that helps detect why a component is re-rendering. It does this by monkey patching React. We've used it in a few of our projects to debug performance issues with great effect.</p>",y
Buildah and Podman,Explore,"Development, Test and Release Tools",TRUE,"<p>Even though <a href=""/radar/platforms/docker"">Docker</a> has become the sensible default for containerization, we're seeing new players in this space that are catching our attention. That is the case for <strong><a href=""https://github.com/containers/buildah"">Buildah</a> and <a href=""https://github.com/containers/podman"">Podman</a></strong>, which are complementary projects to build images (Buildah) and run containers (Podman) using a <a href=""/radar/platforms/rootless-containers"">rootless</a> approach in multiple Linux distributions. Podman introduces a daemonless engine for managing and running containers which is an interesting approach in comparison to what Docker does. The fact that Podman can use either <a href=""https://opencontainers.org/"">Open Container Initiative (OCI)</a> images built by Buildah or Docker images makes this tool even more attractive and easy to use.</p>",n
GitHub Actions,Explore,"Development, Test and Release Tools",TRUE,"<p>CI servers and build tools are some of the oldest and most widely used in our kit. They run the gamut from simple cloud-hosted services to complex, code-defined pipeline servers that support fleets of build machines. Given our experience and the wide range of options already available, we were initially skeptical when <strong><a href=""https://docs.github.com/en/actions"">GitHub Actions</a></strong> were introduced as another mechanism to manage the build and integration workflow. But the opportunity for developers to start small and easily customize behavior means that GitHub Actions are moving toward the default category for smaller projects. It's hard to argue with the convenience of having the build tool integrated directly into the source code repository. An enthusiastic community has emerged around this feature and that means a wide range of user-contributed tools and workflows are available to get started. Tools vendors are also getting on board via the <a href=""https://github.com/marketplace?type=actions"">GitHub Marketplace</a>. However, we still recommend you proceed with caution. Although code and <a href=""/radar/tools/git"">Git</a> history can be exported into alternative hosts, a development workflow based on GitHub Actions can't. Also, use your best judgment to determine when a project is large or complex enough to warrant an independently supported pipeline tool. But for getting up and running quickly on smaller projects, it's worth considering GitHub Actions and the ecosystem that is growing around them.</p>",y
Graal Native Image,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://www.graalvm.org/reference-manual/native-image/"">Graal Native Image</a></strong> is a technology that compiles Java code into an operating system's native binary — in the form of a statically linked executable or a shared library. A native image is optimized to reduce the memory footprint and startup time of an application. Our teams have successfully used Graal native images, executed as small Docker containers, in the <a href=""/radar/techniques/serverless-architecture"">serverless architecture</a> where reducing start time matters. Although designed for use with programming languages such as <a href=""/radar/languages-and-frameworks/go-language"">Go</a> or <a href=""/radar/languages-and-frameworks/rust"">Rust</a> that natively compile and require smaller binary sizes and shorter start times, Graal Native Image can be equally useful to teams that have other requirements and want to use JVM-based languages.</p>

<p>Graal Native Image Builder, <em>native-image</em>, supports JVM-based languages — such as Java, Scala, Clojure and Kotlin — and builds executables on multiple operating systems including Mac OS, Windows and multiple distributions of Linux. Since it requires a closed-world assumption, where all code is known at compile time, additional configuration is needed for features such as <em>reflection</em> or <em>dynamic class loading</em> where types can't be deduced at build time from the code alone.</p>",n
HashiCorp Boundary,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://www.boundaryproject.io/"">HashiCorp Boundary</a></strong> combines the secure networking and identity management capabilities needed for brokering access to your hosts and services in one place and across a mix of cloud and on-premise resources if needed. Key management can be done by integrating the key management service of your choice, be it from a cloud vendor or something like <a href=""/radar/tools/hashicorp-vault"">HashiCorp Vault</a>. HashiCorp Boundary supports a growing number of identity providers and can be integrated with parts of your service landscape to help define permissions, not just on host but also on a service level. For example, it enables you to control fine-grained access to a Kubernetes cluster, and dynamically pulling in service catalogs from various sources is on the roadmap. All of this stays out of the way of the engineering end users who get the shell experience they're used to, securely connected through Boundary's network management layer.</p>",y
imgcook,Explore,"Development, Test and Release Tools",TRUE,"<p>Remember the research project <a href=""https://github.com/tonybeltramelli/pix2code"">pix2code</a> that showed how to automatically generate code from GUI screenshots? Now there is a productized version of this technique — <strong><a href=""https://www.imgcook.com/"">imgcook</a></strong> is a SaaS product from Alibaba that can intelligently transform various design files (Sketch/PSD/static images) into front-end code. Alibaba needs to customize a large number of campaign pages during the Double Eleven shopping festival. These are usually one-time pages that need to be developed quickly. Through the deep-learning method, the UX's design is initially processed into front-end code and then adjusted by the developer. Our team is evaluating this tech: although the image processing takes place on the server side while the main interface is on the web, imgcook provides <a href=""https://github.com/imgcook"">tools</a> that could integrate with the software design and development lifecycle. imgcook can generate static code as well as some data-binding component code if you define a DSL. The technology is not perfect yet; designers need to refer to certain specifications to improve the accuracy of code generation (which still needs to be adjusted by developers afterward). We've always been cautious about magic code generation, because the generated code is usually difficult to maintain in the long run, and imgcook is no exception. But if you limit the usage to a specific context, such as one-time campaign pages, it's worth a try.</p>",n
Longhorn,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://longhorn.io/"">Longhorn</a></strong> is a distributed block storage system for <a href=""/radar/platforms/kubernetes"">Kubernetes</a>. There are many <a href=""https://kubernetes-csi.github.io/docs/drivers.html"">persistent storage options</a> for Kubernetes; unlike most, however, Longhorn is built from the ground up to provide incremental snapshots and backups, thereby easing the pain of running a replicated storage for non–cloud-hosted Kubernetes. With the recent <a href=""https://longhorn.io/blog/longhorn-v1.1.0/"">experimental support for ReadWriteMany (RWX)</a> you can even mount the same volume for read and write access across many nodes. Choosing the right storage system for Kubernetes is a nontrivial task, and we recommend you assess Longhorn based on your needs.</p>",y
Operator Framework,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://operatorframework.io/"">Operator Framework</a></strong> is a set of open-source tools that simplifies building and managing the lifecycle of <a href=""https://kubernetes.io/docs/concepts/extend-kubernetes/operator/"">Kubernetes operators</a>. The Kubernetes operator pattern, originally <a href=""https://web.archive.org/web/20170129131616/https://coreos.com/blog/introducing-operators.html"">introduced by CoreOS</a>, is an approach to encapsulate the knowledge of operating an application using Kubernetes native capabilities; it includes <em>resources</em> to be managed and <em>controller code</em> that ensures the resources are matching their target state. This approach has been used to extend Kubernetes to manage <a href=""https://operatorhub.io/"">many applications</a>, particularly the stateful ones, natively. Operator Framework has three components: <a href=""https://sdk.operatorframework.io/"">Operator SDK</a>, which simplifies building, testing and packaging Kubernetes operators; <a href=""https://github.com/operator-framework/operator-lifecycle-manager/"">Operator lifecycle manager</a> to install, manage and upgrade the operators; and a <a href=""https://operatorhub.io/"">catalog</a> to publish and share third-party operators. Our teams have found Operator SDK particularly powerful in rapidly developing Kubernetes-native applications.</p>",n
Recommender,Explore,"Development, Test and Release Tools",TRUE,"<p>The number of services offered by the big cloud providers keeps growing, but so does the convenience and maturity of tools that help you use them securely and efficiently. <a href=""https://cloud.google.com/recommender""><strong>Recommender</strong></a> is a service on Google Cloud that analyzes your resources and gives you recommendations on how to optimize them based on your actual usage. The service consists of a range of ""recommenders"" in areas such as security, compute usage or cost savings. For example, the <a href=""https://cloud.google.com/iam/docs/role-recommendations"">IAM Recommender</a> helps you better implement the principle of least privilege by pointing out permissions that are never actually used and therefore are potentially too broad.</p>",y
Remote - WSL,Explore,"Development, Test and Release Tools",TRUE,"<p>Over the past few years <a href=""https://docs.microsoft.com/en-us/windows/wsl/"">Windows Subsystem for Linux (WSL)</a> has come up a few times in our discussions. Although we liked what we saw, including the improvements in WSL 2, it never made it into the Radar. In this edition we want to highlight an extension for Visual Studio Code that greatly improves the experience working with WSL. Although Windows-based editors could always access files on a WSL file system, they were unaware of the isolated Linux environment. With the <strong><a href=""https://marketplace.visualstudio.com/items?itemName=ms-vscode-remote.remote-wsl"">Remote - WSL</a></strong> extension, Visual Studio Code becomes aware of WSL, allowing developers to launch a Linux shell. This also enables debugging of binaries running inside WSL from Windows. Jetbrains' IntelliJ too has seen steady improvement in its <a href=""https://youtrack.jetbrains.com/issue/IDEA-171510#focus=Comments-27-4155034.0-0"">support for WSL</a>.</p>",n
Spectral,Explore,"Development, Test and Release Tools",TRUE,"<p>One of the patterns we've seen repeat itself in this publication is that static error- and style-checking tools emerge quickly after a new language gains popularity. These tools are generically known as linters — after the classic and beloved Unix utility <em>lint</em>, which statically analyzes C code. We like these tools because they catch errors early, before code even gets compiled. The latest instance of this pattern is <strong><a href=""https://stoplight.io/open-source/spectral/"">Spectral</a></strong>, a linter for YAML and JSON. Although Spectral is a generic tool for these formats, its main target is OpenAPI (the evolution of <a href=""/radar/tools/swagger"">Swagger</a>) and <a href=""/radar/tools/asyncapi"">AsyncAPI</a>. Spectral ships with a comprehensive set of out-of-the-box rules for these specs that can save developers headaches when designing and implementing APIs or event-driven collaboration. These rules check for proper API parameter specifications or the existence of a license statement in the spec, among other things. While this tool is a welcome addition to the API development workflow, it does raise the question of whether a non-executable specification should be so complex as to require an error-checking technique designed for programming languages. Perhaps developers should be writing code instead of specs?</p>",y
Yelp detect-secrets,Explore,"Development, Test and Release Tools",TRUE,"<p><strong><a href=""https://github.com/Yelp/detect-secrets"">Yelp detect-secrets</a></strong> is a Python module for detecting secrets within a codebase; it scans files within a directory looking for secrets. It can be used as a <a href=""/radar/tools/git"">Git</a> pre-commit hook or to perform a scan in multiple places within the CI/CD pipeline. It comes with a default configuration that makes it very easy to use but can be modified to suit your needs. You can also install custom plugins to add to its default heuristic searches. Compared to similar offerings, we found that this tool detects more types of secrets with its out-of-the-box configuration.</p>",n
Zally,Explore,"Development, Test and Release Tools",TRUE,"<p>As the API specification ecosystem matures, we're seeing more tools built to automate style checks. <strong><a href=""https://github.com/zalando/zally"">Zally</a></strong> is a minimalist OpenAPI linter that helps to ensure an API conforms to the team's API style guide. Out of the box, it will validate against a rule set developed for <a href=""https://opensource.zalando.com/restful-api-guidelines/"">Zalando's API style guide</a>, but it also supports a Kotlin extension mechanism to develop custom rules. Zally includes a web UI that provides an intuitive interface for understanding style violations and includes a CLI that makes it easy to plug into your CD pipeline.</p>",y
Angular Testing Library,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>As we continue developing web applications in JavaScript, we continue enjoying the <a href=""/radar/languages-and-frameworks/testing-library"">Testing Library</a> approach of testing applications; and carry on exploring and gaining experience with its packages — beyond that of <a href=""/radar/languages-and-frameworks/react-testing-library"">React Testing Library</a>. <strong><a href=""https://testing-library.com/docs/angular-testing-library/intro/"">Angular Testing Library</a></strong> brings all the benefits of its family when testing UI components in a user-centric way, pushing for more maintainable tests focused primarily on behavior rather than testing UI implementation details. Although it falls short in documentation, Angular Testing Library does provide <a href=""https://github.com/testing-library/angular-testing-library/tree/master/apps/example-app/app/examples"">good sample tests</a> that helped us in getting started faster for various cases. We've had great success with this testing library in our <a href=""/radar/languages-and-frameworks/angular"">Angular</a> projects and advise you to trial this solid testing approach.</p>",n
AWS Data Wrangler,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p><strong><a href=""https://github.com/awslabs/aws-data-wrangler"">AWS Data Wrangler</a></strong> is an open-source library that extends the capabilities of <a href=""https://github.com/pandas-dev/pandas"">Pandas</a> to AWS by connecting data frames to AWS data-related services. In addition to Pandas, this library leverages <a href=""https://github.com/apache/arrow"">Apache Arrow</a> and <a href=""https://github.com/boto/boto3"">Boto3</a> to expose <a href=""https://aws-data-wrangler.readthedocs.io/en/2.5.0/api.html"">several APIs</a> to load, transform and save data from data lakes and data warehouses. An important limitation is that you can't do large distributed data pipelines with this library. However, you can leverage the native data services — like Athena, Redshift and Timestream — to do the heavy lifting and pull data in order to express complex transformations that are well suited for data frames. We've used AWS Data Wrangler in production and like that it lets you focus on writing transformations without spending too much time on the connectivity to AWS data services.</p>",y
Blazor,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>Although JavaScript and its ecosystem is dominant in the web UI development space, new opportunities are opening up with the emergence of <a href=""/radar/languages-and-frameworks/webassembly"">WebAssembly</a>. <strong><a href=""https://dotnet.microsoft.com/apps/aspnet/web-apps/blazor"">Blazor</a></strong> continues to demand our attention; it's producing good results with our teams building interactive rich user interfaces using C# on top of WebAssembly. The fact that our teams can use C# on the frontend too allows them to share code and reuse existing libraries. That, along with the existing tooling for debugging and testing, such as <a href=""/radar/languages-and-frameworks/bunit"">bUnit</a>, make this open-source framework worth trying.</p>",n
FastAPI,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>We're seeing more teams adopting Python as the preferred language to build solutions, not just for data science but for back-end services too. In these scenarios, we're having good experiences with <strong><a href=""https://fastapi.tiangolo.com/"">FastAPI</a></strong> — a modern, fast (high-performance), web framework for building APIs with Python 3.6 or later. Additionally, this framework and its ecosystem include features such as API documentation using OpenAPI that allow our teams to focus on the business functionalities and quickly create REST APIs, which makes FastAPI a good alternative to existing solutions in this space.</p>",y
io-ts,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>We've really enjoyed using <a href=""/radar/languages-and-frameworks/typescript"">TypeScript</a> for a while now and love the safety that the strong typing provides. However, getting data into the bounds of the type system — from, for example, a call to a back-end service — can lead to run-time errors. One library that helps solve this problem is <strong><a href=""https://gcanti.github.io/io-ts/"">io-ts</a></strong>. It bridges the gap between compile-time type-checking and run-time consumption of external data by providing encode and decode functions. It can also be used as a custom type guard. As we gain more experience with io-ts in our work, our initially positive impressions are confirmed, and we still like the elegance of its approach.</p>",n
Kotlin Flow,Explore,"Languages, Frameworks, and Platforms",TRUE,"<p>The introduction of <a href=""https://kotlinlang.org/docs/coroutines-overview.html"">coroutines to Kotlin</a> opened the door for several innovations — <strong><a href=""https://kotlinlang.org/docs/flow.html"">Kotlin Flow</a></strong> is one of them, directly integrated into the coroutines library. It's an implementation of Reactive Streams on top of coroutines. Unlike <a href=""https://github.com/ReactiveX/RxJava"">RxJava</a>, flows are a native Kotlin API similar to the familiar sequence API with methods that include <code>map</code> and <code>filter</code>. Like sequences, flows are <em>cold</em>, meaning that the values of the sequence are only constructed when needed. All of this makes writing multithreaded code much simpler and easier to understand than other approaches. The <code>toList</code> method, predictably, converts a flow into a list which is a common pattern in tests.</p>",y
LitElement,Explore,"Languages, Frameworks, and Platforms",FALSE,"<p>Steady progress has been made since we first wrote about <a href=""/radar/platforms/web-components-standard"">Web Components</a> in 2014. <strong><a href=""https://lit-element.polymer-project.org/"">LitElement</a></strong>, part of the <a href=""https://www.polymer-project.org/"">Polymer Project</a>, is a simple library that you can use to create lightweight web components. It's really just a base class that removes the need for a lot of the common boilerplate, making writing web components a lot easier. We've had success using it on projects, and as we see the technology maturing and the library being well liked, LitElement is becoming more commonly used in our Web Components-based projects.</p>",n
